term_id,neighbor_term_id,similarity,term_text,neighbor_term_text,term_tf_idf,neighbor_tf_idf
2,245,0.9656893014907837,Configuration,Typical configuration,82.71244444125637,12.20415880540085
2,53,0.9243432283401489,Configuration,System configuration,82.71244444125637,15.37963753527763
2,1834,0.9153745770454407,Configuration,configuration files,82.71244444125637,50.67521939948849
2,2023,0.9082618951797485,Configuration,configuration changes,82.71244444125637,15.37963753527763
2,2761,0.9045214056968689,Configuration,registration valid configuration,82.71244444125637,17.422940030341593
2,100,0.8932801485061646,Configuration,Slurm Configuration,82.71244444125637,23.069456302916443
2,2694,0.8722662925720215,Configuration,Slurm configuration file,82.71244444125637,23.069456302916443
2,1196,0.8614052534103394,Configuration,configuration options,82.71244444125637,12.20415880540085
2,2727,0.8533425331115723,Configuration,node configuration,82.71244444125637,26.999246036589373
2,1971,0.8478423357009888,Configuration,important configuration parameters,82.71244444125637,15.37963753527763
10,3514,0.9898276329040527,fair share factor,fair share,44.748582286469784,16.272211740534466
10,15,0.9677203297615051,fair share factor,shares,44.748582286469784,88.43291582784637
10,7687,0.9638490080833435,fair share factor,factors,44.748582286469784,32.54442348106893
10,9798,0.9503323435783386,fair share factor,decay factor,44.748582286469784,14.283600347080686
10,3253,0.946243405342102,fair share factor,Fair Tree algorithm,44.748582286469784,17.422940030341593
10,12,0.9369224309921265,fair share factor,formula,44.748582286469784,26.13441004551239
10,3252,0.8836406469345093,fair share factor,FairShare,44.748582286469784,20.34026467566808
10,10607,0.8807580471038818,fair share factor,age factor priority,44.748582286469784,19.044800462774248
10,9180,0.8708378672599792,fair share factor,decay,44.748582286469784,17.422940030341593
10,3280,0.8421362638473511,fair share factor,tree,44.748582286469784,12.20415880540085
12,10,0.9369224309921265,formula,fair share factor,26.13441004551239,44.748582286469784
12,3514,0.9309648871421814,formula,fair share,26.13441004551239,16.272211740534466
12,9798,0.9219468235969543,formula,decay factor,26.13441004551239,14.283600347080686
12,3253,0.9210342168807983,formula,Fair Tree algorithm,26.13441004551239,17.422940030341593
12,9180,0.9017196893692017,formula,decay,26.13441004551239,17.422940030341593
12,7687,0.8963596224784851,formula,factors,26.13441004551239,32.54442348106893
12,15,0.8830524682998657,formula,shares,26.13441004551239,88.43291582784637
12,9893,0.8786113262176514,formula,effective usage,26.13441004551239,28.56720069416137
12,3252,0.8604708909988403,formula,FairShare,26.13441004551239,20.34026467566808
12,9854,0.8507059812545776,formula,actual usage,26.13441004551239,19.044800462774248
15,3514,0.984562873840332,shares,fair share,88.43291582784637,16.272211740534466
15,10,0.9677203297615051,shares,fair share factor,88.43291582784637,44.748582286469784
15,3253,0.9091541767120361,shares,Fair Tree algorithm,88.43291582784637,17.422940030341593
15,12,0.8830524682998657,shares,formula,88.43291582784637,26.13441004551239
15,7687,0.8827574253082275,shares,factors,88.43291582784637,32.54442348106893
15,9798,0.8669863939285278,shares,decay factor,88.43291582784637,14.283600347080686
15,3252,0.8304316997528076,shares,FairShare,88.43291582784637,20.34026467566808
15,3280,0.8068682551383972,shares,tree,88.43291582784637,12.20415880540085
15,10607,0.8053079843521118,shares,age factor priority,88.43291582784637,19.044800462774248
15,9854,0.8014428019523621,shares,actual usage,88.43291582784637,19.044800462774248
24,4637,1.0,jobs,Job Dependencies,850.4186825067643,13.067205022756195
24,2668,1.0,jobs,jobs jobs,850.4186825067643,40.49886905488406
24,4816,0.9731286764144897,jobs,Managing Jobs,850.4186825067643,13.067205022756195
24,3527,0.9669739603996277,jobs,job job step,850.4186825067643,35.084371471981946
24,472,0.9659816026687622,jobs,false job Job,850.4186825067643,13.067205022756195
24,4706,0.9592247605323792,jobs,MCS_label jobs,850.4186825067643,14.283600347080686
24,10871,0.9521290063858032,jobs,conditions job,850.4186825067643,23.80600057846781
24,1967,0.9501916170120239,jobs,running job,850.4186825067643,30.374151791163044
24,7301,0.9475744366645813,jobs,sibling jobs,850.4186825067643,38.089600925548496
24,7789,0.9468982219696045,jobs,job job array,850.4186825067643,28.56720069416137
27,9893,0.9820713996887207,usage,effective usage,66.1870062684487,28.56720069416137
27,9854,0.9642672538757324,usage,actual usage,66.1870062684487,19.044800462774248
27,9798,0.8483507633209229,usage,decay factor,66.1870062684487,14.283600347080686
27,9180,0.8475451469421387,usage,decay,66.1870062684487,17.422940030341593
27,764,0.84317946434021,usage,usage job,66.1870062684487,15.37963753527763
27,12,0.8225836753845215,usage,formula,66.1870062684487,26.13441004551239
27,7687,0.8126934766769409,usage,factors,66.1870062684487,32.54442348106893
27,10,0.8095202445983887,usage,fair share factor,66.1870062684487,44.748582286469784
27,3252,0.8091405630111694,usage,FairShare,66.1870062684487,20.34026467566808
27,3514,0.7839648723602295,usage,fair share,66.1870062684487,16.272211740534466
35,2283,0.8925781846046448,case,exception cases slurm,50.67521939948849,14.283600347080686
35,4942,0.8816159963607788,case,exception,50.67521939948849,13.067205022756195
35,6605,0.859207034111023,case,scenarios,50.67521939948849,12.20415880540085
35,2056,0.852557897567749,case,Simple,50.67521939948849,18.312939135127266
35,946,0.848124086856842,case,addition,50.67521939948849,21.050622883189167
35,2016,0.8381041288375854,case,place,50.67521939948849,28.067497177585555
35,2066,0.8379554748535156,case,app,50.67521939948849,15.37963753527763
35,2991,0.8320614695549011,case,actions,50.67521939948849,34.60418445437467
35,2418,0.8285457491874695,case,contexts,50.67521939948849,14.283600347080686
35,1892,0.8255462646484375,case,Setup,50.67521939948849,18.312939135127266
37,4047,0.945580244064331,slurm.conf parameters,configuration parameters,21.050622883189167,24.55906003038736
37,1971,0.9262213706970215,slurm.conf parameters,important configuration parameters,21.050622883189167,15.37963753527763
37,268,0.9149247407913208,slurm.conf parameters,Path parameters,21.050622883189167,85.70160208248411
37,101,0.9037908315658569,slurm.conf parameters,Slurm configuration parameters,21.050622883189167,19.224546919097037
37,205,0.8992915153503418,slurm.conf parameters,parameter,21.050622883189167,61.445925915275
37,6662,0.8757511377334595,slurm.conf parameters,slurm.conf slurmdbd.conf,21.050622883189167,13.067205022756195
37,1583,0.8673973679542542,slurm.conf parameters,slurm.conf configurator.html,21.050622883189167,14.283600347080686
37,1180,0.8583692312240601,slurm.conf parameters,slurm.conf,21.050622883189167,88.49892764021632
37,8173,0.8556433320045471,slurm.conf parameters,Excerpt slurm.conf,21.050622883189167,17.422940030341593
37,272,0.8514010906219482,slurm.conf parameters,Query parameters,21.050622883189167,142.83600347080687
39,2759,0.91036456823349,PriorityType,ReturnToService,19.224546919097037,12.20415880540085
39,11584,0.9082294702529907,PriorityType,special advice,19.224546919097037,14.283600347080686
39,2886,0.9063366651535034,PriorityType,SlurmdPidFile,19.224546919097037,12.20415880540085
39,2887,0.9054743051528931,PriorityType,Timers,19.224546919097037,12.20415880540085
39,2063,0.9036259055137634,PriorityType,SchedulerType,19.224546919097037,18.312939135127266
39,6387,0.9006195068359375,PriorityType,DefaultPool,19.224546919097037,14.283600347080686
39,110,0.8969603776931763,PriorityType,JobAcctGatherType,19.224546919097037,18.312939135127266
39,2457,0.8941932916641235,PriorityType,builtin,19.224546919097037,15.37963753527763
39,6852,0.8924052119255066,PriorityType,onerr,19.224546919097037,14.283600347080686
39,180,0.8922840356826782,PriorityType,bf_continue,19.224546919097037,13.067205022756195
40,2558,0.9729419946670532,priority multifactor,priority,12.20415880540085,51.95968439873733
40,10005,0.9459338784217834,priority multifactor,high priority,12.20415880540085,17.422940030341593
40,10605,0.9443861246109009,priority multifactor,age priority,12.20415880540085,28.56720069416137
40,2555,0.9371058940887451,priority multifactor,priority multifactor plugin,12.20415880540085,20.34026467566808
40,10607,0.9161207675933838,priority multifactor,age factor priority,12.20415880540085,19.044800462774248
40,2451,0.89799964427948,priority multifactor,higher priority jobs,12.20415880540085,19.224546919097037
40,9217,0.8858625888824463,priority multifactor,set priorities,12.20415880540085,14.283600347080686
40,2553,0.8811265230178833,priority multifactor,Job Scheduling Priority,12.20415880540085,12.20415880540085
40,2450,0.8781416416168213,priority multifactor,priority jobs,12.20415880540085,23.069456302916443
