term_id,term_text,tf,idf,tf_idf,c_value
82,host,118.0,1.5108256237659907,178.2774236043869,0.0
678,LSF,112.0,1.5108256237659907,169.21246986179096,0.0
3,job,163.0,1.0,163.0,0.0
829,LIM,51.0,1.916290731874155,97.73082732558191,0.0
87,cluster,96.0,1.0,96.0,0.0
41,nodes,51.0,1.5108256237659907,77.05210681206553,0.0
68,users,60.0,1.2231435513142097,73.38861307885259,0.0
13,tasks,64.0,1.0,64.0,0.0
619,cpu,42.0,1.5108256237659907,63.45467619817161,0.0
275,command,50.0,1.2231435513142097,61.157177565710484,0.0
261,error,40.0,1.5108256237659907,60.43302495063963,0.0
781,resources,40.0,1.5108256237659907,60.43302495063963,0.0
7,database,31.0,1.916290731874155,59.40501268809881,0.0
30,SlurmDBD,30.0,1.916290731874155,57.48872195622465,0.0
679,LSF daemons,28.0,1.916290731874155,53.65614049247634,26.6
1,Slurm,35.0,1.5108256237659907,52.878896831809676,0.0
54,file,47.0,1.0,47.0,0.0
704,queue,31.0,1.5108256237659907,46.835594336745714,0.0
743,procedure,31.0,1.5108256237659907,46.835594336745714,0.0
950,lsf.conf file,23.0,1.916290731874155,44.07468683310557,21.333333333333332
2065,cores,23.0,1.916290731874155,44.07468683310557,0.0
677,configuration files,22.0,1.916290731874155,42.15839610123141,20.8
875,LSF_CONFDIR,22.0,1.916290731874155,42.15839610123141,0.0
2067,consumable resources,22.0,1.916290731874155,42.15839610123141,18.0
114,default,27.0,1.5108256237659907,40.79229184168175,0.0
396,root,26.0,1.5108256237659907,39.28146621791576,0.0
840,number,26.0,1.5108256237659907,39.28146621791576,0.0
8,Information,30.0,1.2231435513142097,36.69430653942629,0.0
777,message,19.0,1.916290731874155,36.40952390560895,0.0
793,Host types,19.0,1.916290731874155,36.40952390560895,17.0
835,ELIM,19.0,1.916290731874155,36.40952390560895,0.0
1225,license,19.0,1.916290731874155,36.40952390560895,0.0
186,mysql,18.0,1.916290731874155,34.493233173734794,0.0
876,lsf.cluster.cluster_name file,18.0,1.916290731874155,34.493233173734794,18.0
2109,Allocation,18.0,1.916290731874155,34.493233173734794,0.0
2122,distribution,18.0,1.916290731874155,34.493233173734794,0.0
877,share,17.0,1.916290731874155,32.57694244186064,0.0
2071,slurm.conf options,17.0,1.916290731874155,32.57694244186064,17.0
