term_id,term_text,tf,idf,tf_idf,c_value
82,host,118.0,1.5108256237659907,178.2774236043869,0.0
678,LSF,112.0,1.5108256237659907,169.21246986179096,0.0
3,job,163.0,1.0,163.0,0.0
829,LIM,51.0,1.916290731874155,97.73082732558191,0.0
87,cluster,96.0,1.0,96.0,0.0
41,nodes,51.0,1.5108256237659907,77.05210681206553,0.0
68,users,60.0,1.2231435513142097,73.38861307885259,0.0
13,tasks,64.0,1.0,64.0,0.0
619,cpu,42.0,1.5108256237659907,63.45467619817161,0.0
275,command,50.0,1.2231435513142097,61.157177565710484,0.0
261,error,40.0,1.5108256237659907,60.43302495063963,0.0
781,resources,40.0,1.5108256237659907,60.43302495063963,0.0
7,database,31.0,1.916290731874155,59.40501268809881,0.0
30,SlurmDBD,30.0,1.916290731874155,57.48872195622465,0.0
679,LSF daemons,28.0,1.916290731874155,53.65614049247634,26.6
1,Slurm,35.0,1.5108256237659907,52.878896831809676,0.0
54,file,47.0,1.0,47.0,0.0
704,queue,31.0,1.5108256237659907,46.835594336745714,0.0
743,procedure,31.0,1.5108256237659907,46.835594336745714,0.0
950,lsf.conf file,23.0,1.916290731874155,44.07468683310557,21.333333333333332
