doc_id,chunk_id,rowid_src,candidate_n,kept_edges_n,raw_output,parsed_json,processed_at
doc_4387,doc_4387_chunk_0001,1,1,0,,"{""is_a_edges"": []}",2026-02-03 19:46:23
doc_4387,doc_4387_chunk_0002,2,0,0,,"{""is_a_edges"": []}",2026-02-03 19:46:23
doc_4387,doc_4387_chunk_0003,3,2,1,"{
  ""is_a_edges"": [
    {
      ""child"": ""Slurm plugins"",
      ""parent"": ""authentication"",
      ""justification"": ""The text mentions that SlurmDBD (a Slurm plugin) is used for authentication.""
    }
  ]
}","{""is_a_edges"": [{""child"": ""Slurm plugins"", ""parent"": ""authentication"", ""justification"": ""The text mentions that SlurmDBD (a Slurm plugin) is used for authentication.""}]}",2026-02-03 19:46:26
doc_4387,doc_4387_chunk_0004,4,1,0,,"{""is_a_edges"": []}",2026-02-03 19:46:26
doc_4387,doc_4387_chunk_0005,5,0,0,,"{""is_a_edges"": []}",2026-02-03 19:46:26
doc_4387,doc_4387_chunk_0006,6,4,0,"{
  ""is_a_edges"": [
    {
      ""child"": ""associations"",
      ""parent"": ""user entities"",
      ""justification"": ""The text mentions the creation of 'user entities' called 'associations', implying that associations are a type of user entity.""
    }
  ]
}","{""is_a_edges"": [{""child"": ""associations"", ""parent"": ""user entities"", ""justification"": ""The text mentions the creation of 'user entities' called 'associations', implying that associations are a type of user entity.""}]}",2026-02-03 19:46:29
doc_4387,doc_4387_chunk_0007,7,0,0,,"{""is_a_edges"": []}",2026-02-03 19:46:29
doc_4387,doc_4387_chunk_0008,8,0,0,,"{""is_a_edges"": []}",2026-02-03 19:46:29
doc_4387,doc_4387_chunk_0009,9,0,0,,"{""is_a_edges"": []}",2026-02-03 19:46:29
doc_4387,doc_4387_chunk_0010,10,1,0,,"{""is_a_edges"": []}",2026-02-03 19:46:29
doc_4387,doc_4387_chunk_0011,11,0,0,,"{""is_a_edges"": []}",2026-02-03 19:46:29
doc_4387,doc_4387_chunk_0012,12,0,0,,"{""is_a_edges"": []}",2026-02-03 19:46:29
doc_4387,doc_4387_chunk_0013,13,0,0,,"{""is_a_edges"": []}",2026-02-03 19:46:29
doc_4387,doc_4387_chunk_0014,14,0,0,,"{""is_a_edges"": []}",2026-02-03 19:46:29
doc_4387,doc_4387_chunk_0015,15,0,0,,"{""is_a_edges"": []}",2026-02-03 19:46:29
doc_4387,doc_4387_chunk_0016,16,0,0,,"{""is_a_edges"": []}",2026-02-03 19:46:29
doc_4387,doc_4387_chunk_0017,17,1,0,,"{""is_a_edges"": []}",2026-02-03 19:46:29
doc_4387,doc_4387_chunk_0018,18,0,0,,"{""is_a_edges"": []}",2026-02-03 19:46:29
doc_4387,doc_4387_chunk_0019,19,1,0,,"{""is_a_edges"": []}",2026-02-03 19:46:29
doc_4387,doc_4387_chunk_0020,20,1,0,,"{""is_a_edges"": []}",2026-02-03 19:46:29
doc_4387,doc_4387_chunk_0021,21,1,0,,"{""is_a_edges"": []}",2026-02-03 19:46:29
doc_4387,doc_4387_chunk_0022,22,2,1,"{
  ""is_a_edges"": [
    {
      ""child"": ""Partition"",
      ""parent"": ""entity"",
      ""justification"": ""The text describes Partition as an entity that can be modified using sacctmgr, which implies it is a specific type of entity.""
    }
  ]
}","{""is_a_edges"": [{""child"": ""Partition"", ""parent"": ""entity"", ""justification"": ""The text describes Partition as an entity that can be modified using sacctmgr, which implies it is a specific type of entity.""}]}",2026-02-03 19:46:32
