term_id,neighbor_term_id,similarity,term_text,neighbor_term_text,term_tf_idf,neighbor_tf_idf
2,1181,1.0000001192092896,badmin,badmin hopen,138.50226695262756,25.005495182883905
2,1141,1.0000001192092896,badmin,badmin hclose,138.50226695262756,23.66663387499864
2,2155,1.0000001192092896,badmin,badmin perfmon,138.50226695262756,27.61107285416508
2,2244,1.0000001192092896,badmin,badmin lsfproxyd status,138.50226695262756,13.365793808797292
2,622,1.0000001192092896,badmin,badmin showconf,138.50226695262756,31.555511833331522
2,4299,1.0000001192092896,badmin,badmin hpower,138.50226695262756,22.276323014662154
2,635,1.0000001192092896,badmin,badmin showstatus,138.50226695262756,15.777755916665761
2,3141,1.0000001192092896,badmin,badmin lsfproxyd unblock,138.50226695262756,14.582189133121787
2,12391,1.0000001192092896,badmin,badmin mbddebug,138.50226695262756,12.502747591441953
2,9404,1.0000001192092896,badmin,badmin ckconfig,138.50226695262756,39.444389791664406
2,1852,1.0,badmin,badmin diagnose,138.50226695262756,62.53983629857269
2,720,0.9991949200630188,badmin,lsadmin badmin,138.50226695262756,27.61107285416508
2,747,0.9982126355171204,badmin,lsadmin badmin commands,138.50226695262756,47.33326774999728
2,713,0.9982125759124756,badmin,commands lsadmin badmin,138.50226695262756,13.365793808797292
2,3265,0.998006284236908,badmin,badmin showconf command,138.50226695262756,31.186852220527015
2,3086,0.998006284236908,badmin,badmin hopen command,138.50226695262756,46.903567653087954
2,20,0.998006284236908,badmin,badmin command,138.50226695262756,61.33543462326887
2,9387,0.998006284236908,badmin,badmin ckconfig command,138.50226695262756,17.821058411729723
2,2086,0.9966334700584412,badmin,lsadmin limrestart,138.50226695262756,41.38329164609734
2,440,0.9966334700584412,badmin,lsadmin ckconfig,138.50226695262756,12.502747591441953
5,21288,0.9993318319320679,multiple versions,Solaris versions,13.365793808797292,12.502747591441953
5,13953,0.9993317723274231,multiple versions,future version,13.365793808797292,102.47108586744591
5,10,0.9993317723274231,multiple versions,previous version,13.365793808797292,13.365793808797292
5,13843,0.9993317723274231,multiple versions,JRE version,13.365793808797292,19.722194895832203
5,22756,0.9993317723274231,multiple versions,compatibility earlier versions,13.365793808797292,13.365793808797292
5,1594,0.9993317723274231,multiple versions,Version,13.365793808797292,193.22029294853806
5,12583,0.9993317723274231,multiple versions,Podman version,13.365793808797292,14.582189133121787
5,13858,0.9993317723274231,multiple versions,Installed Version,13.365793808797292,25.005495182883905
5,18175,0.9993317723274231,multiple versions,version bjobs,13.365793808797292,14.582189133121787
5,8398,0.9991950988769531,multiple versions,product version,13.365793808797292,14.582189133121787
5,10956,0.9991677403450012,multiple versions,multiple slots,13.365793808797292,12.502747591441953
5,3411,0.9991449117660522,multiple versions,multiple attribute,13.365793808797292,26.731587617594585
5,5171,0.9991276860237122,multiple versions,Prints release version,13.365793808797292,17.821058411729723
5,7272,0.9990930557250977,multiple versions,multiple exit codes,13.365793808797292,27.61107285416508
5,1157,0.9990465044975281,multiple versions,multiple reasons,13.365793808797292,13.365793808797292
5,1761,0.9990181922912598,multiple versions,multiple levels,13.365793808797292,51.277706729163725
5,7775,0.9989646077156067,multiple versions,Linux kernel version,13.365793808797292,27.61107285416508
5,10694,0.9989145398139954,multiple versions,versions cgroup,13.365793808797292,70.99990162499593
